0.00.416.140 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.416.942 W srv  llama_server: -----------------
0.00.416.944 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.416.945 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.416.946 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.416.946 W srv  llama_server: -----------------
0.00.423.490 I srv    load_model: loading model 'C:/inky_models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf'
0.00.778.512 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 28, abort
0.01.000.833 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.516.072 I cmn          init: llama threadpool init, n_threads = 6
0.04.799.481 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.04.813.366 I srv  llama_server: model loaded
0.04.813.377 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.813.377 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.813.378 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.08.540.329 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
27.12.302.231 I slot print_timing: id  0 | task 18181 | n_gen =    367, tg =  22.19 t/s, tg_3s =  22.15 t/s
27.15.309.070 I slot print_timing: id  0 | task 18181 | n_gen =    433, tg =  22.15 t/s, tg_3s =  21.95 t/s
27.18.318.708 I slot print_timing: id  0 | task 18181 | n_gen =    499, tg =  22.12 t/s, tg_3s =  21.93 t/s
27.21.335.764 I slot print_timing: id  0 | task 18181 | n_gen =    560, tg =  21.90 t/s, tg_3s =  20.22 t/s
27.24.377.409 I slot print_timing: id  0 | task 18181 | n_gen =    620, tg =  21.67 t/s, tg_3s =  19.73 t/s
27.27.380.891 I slot print_timing: id  0 | task 18181 | n_gen =    681, tg =  21.54 t/s, tg_3s =  20.31 t/s
27.30.413.202 I slot print_timing: id  0 | task 18181 | n_gen =    741, tg =  21.38 t/s, tg_3s =  19.79 t/s
27.33.452.720 I slot print_timing: id  0 | task 18181 | n_gen =    801, tg =  21.25 t/s, tg_3s =  19.74 t/s
27.36.514.161 I slot print_timing: id  0 | task 18181 | n_gen =    860, tg =  21.10 t/s, tg_3s =  19.27 t/s
27.39.545.936 I slot print_timing: id  0 | task 18181 | n_gen =    919, tg =  20.99 t/s, tg_3s =  19.46 t/s
27.42.562.564 I slot print_timing: id  0 | task 18181 | n_gen =    978, tg =  20.90 t/s, tg_3s =  19.56 t/s
27.45.597.022 I slot print_timing: id  0 | task 18181 | n_gen =   1038, tg =  20.83 t/s, tg_3s =  19.77 t/s
27.48.626.600 I slot print_timing: id  0 | task 18181 | n_gen =   1097, tg =  20.75 t/s, tg_3s =  19.47 t/s
27.51.629.117 I slot print_timing: id  0 | task 18181 | n_gen =   1156, tg =  20.69 t/s, tg_3s =  19.65 t/s
27.54.660.219 I slot print_timing: id  0 | task 18181 | n_gen =   1216, tg =  20.64 t/s, tg_3s =  19.79 t/s
27.57.692.537 I slot print_timing: id  0 | task 18181 | n_gen =   1276, tg =  20.60 t/s, tg_3s =  19.79 t/s
28.00.727.428 I slot print_timing: id  0 | task 18181 | n_gen =   1335, tg =  20.55 t/s, tg_3s =  19.44 t/s
28.03.768.208 I slot print_timing: id  0 | task 18181 | n_gen =   1395, tg =  20.51 t/s, tg_3s =  19.73 t/s
28.06.771.625 I slot print_timing: id  0 | task 18181 | n_gen =   1452, tg =  20.45 t/s, tg_3s =  18.98 t/s
28.09.817.402 I slot print_timing: id  0 | task 18181 | n_gen =   1511, tg =  20.40 t/s, tg_3s =  19.37 t/s
28.12.861.350 I slot print_timing: id  0 | task 18181 | n_gen =   1570, tg =  20.36 t/s, tg_3s =  19.38 t/s
28.15.893.349 I slot print_timing: id  0 | task 18181 | n_gen =   1628, tg =  20.32 t/s, tg_3s =  19.13 t/s
28.17.469.473 I slot print_timing: id  0 | task 18181 | prompt eval time =    2219.72 ms /  2073 tokens (    1.07 ms per token,   933.90 tokens per second)
28.17.469.481 I slot print_timing: id  0 | task 18181 |        eval time =   81662.01 ms /  1658 tokens (   49.28 ms per token,    20.29 tokens per second)
28.17.469.482 I slot print_timing: id  0 | task 18181 |       total time =   83881.73 ms /  3731 tokens
28.17.469.484 I slot print_timing: id  0 | task 18181 |    graphs reused =      19674
28.17.469.999 I slot      release: id  0 | task 18181 | stop processing: n_tokens = 6600, truncated = 0
28.22.836.313 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.941 (> 0.100 thold), f_keep = 0.748
28.22.836.471 I slot launch_slot_: id  0 | task 19841 | processing task, is_child = 0
28.28.102.911 I slot print_timing: id  0 | task 19841 | n_gen =    100, tg =  20.45 t/s, tg_3s =  20.65 t/s
28.31.115.227 I slot print_timing: id  0 | task 19841 | n_gen =    164, tg =  20.75 t/s, tg_3s =  21.25 t/s
28.34.125.529 I slot print_timing: id  0 | task 19841 | n_gen =    225, tg =  20.62 t/s, tg_3s =  20.26 t/s
28.37.129.561 I slot print_timing: id  0 | task 19841 | n_gen =    285, tg =  20.48 t/s, tg_3s =  19.97 t/s
28.40.151.076 I slot print_timing: id  0 | task 19841 | n_gen =    346, tg =  20.43 t/s, tg_3s =  20.19 t/s
28.43.189.789 I slot print_timing: id  0 | task 19841 | n_gen =    407, tg =  20.37 t/s, tg_3s =  20.07 t/s
28.46.202.478 I slot print_timing: id  0 | task 19841 | n_gen =    468, tg =  20.36 t/s, tg_3s =  20.25 t/s
28.49.245.651 I slot print_timing: id  0 | task 19841 | n_gen =    528, tg =  20.28 t/s, tg_3s =  19.72 t/s
28.52.282.695 I slot print_timing: id  0 | task 19841 | n_gen =    588, tg =  20.23 t/s, tg_3s =  19.76 t/s
28.55.282.936 I slot print_timing: id  0 | task 19841 | n_gen =    646, tg =  20.14 t/s, tg_3s =  19.33 t/s
28.58.303.446 I slot print_timing: id  0 | task 19841 | n_gen =    706, tg =  20.12 t/s, tg_3s =  19.86 t/s
29.01.329.711 I slot print_timing: id  0 | task 19841 | n_gen =    766, tg =  20.10 t/s, tg_3s =  19.83 t/s
29.04.333.264 I slot print_timing: id  0 | task 19841 | n_gen =    826, tg =  20.09 t/s, tg_3s =  19.98 t/s
29.07.360.537 I slot print_timing: id  0 | task 19841 | n_gen =    885, tg =  20.05 t/s, tg_3s =  19.49 t/s
29.10.372.512 I slot print_timing: id  0 | task 19841 | n_gen =    944, tg =  20.02 t/s, tg_3s =  19.59 t/s
29.13.400.102 I slot print_timing: id  0 | task 19841 | n_gen =   1003, tg =  19.98 t/s, tg_3s =  19.49 t/s
29.16.441.334 I slot print_timing: id  0 | task 19841 | n_gen =   1062, tg =  19.95 t/s, tg_3s =  19.40 t/s
29.19.492.553 I slot print_timing: id  0 | task 19841 | n_gen =   1121, tg =  19.92 t/s, tg_3s =  19.34 t/s
29.22.513.688 I slot print_timing: id  0 | task 19841 | n_gen =   1179, tg =  19.88 t/s, tg_3s =  19.20 t/s
29.25.541.943 I slot print_timing: id  0 | task 19841 | n_gen =   1236, tg =  19.83 t/s, tg_3s =  18.82 t/s
29.28.549.511 I slot print_timing: id  0 | task 19841 | n_gen =   1291, tg =  19.76 t/s, tg_3s =  18.29 t/s
29.31.578.027 I slot print_timing: id  0 | task 19841 | n_gen =   1345, tg =  19.67 t/s, tg_3s =  17.83 t/s
29.34.617.393 I slot print_timing: id  0 | task 19841 | n_gen =   1399, tg =  19.59 t/s, tg_3s =  17.77 t/s
29.37.665.625 I slot print_timing: id  0 | task 19841 | n_gen =   1457, tg =  19.57 t/s, tg_3s =  19.03 t/s
29.40.682.100 I slot print_timing: id  0 | task 19841 | n_gen =   1513, tg =  19.53 t/s, tg_3s =  18.56 t/s
29.43.693.612 I slot print_timing: id  0 | task 19841 | n_gen =   1571, tg =  19.52 t/s, tg_3s =  19.26 t/s
29.46.731.654 I slot print_timing: id  0 | task 19841 | n_gen =   1628, tg =  19.49 t/s, tg_3s =  18.76 t/s
29.48.580.666 I slot print_timing: id  0 | task 19841 | prompt eval time =     424.46 ms /   309 tokens (    1.37 ms per token,   727.99 tokens per second)
29.48.580.677 I slot print_timing: id  0 | task 19841 |        eval time =   85319.71 ms /  1658 tokens (   51.49 ms per token,    19.42 tokens per second)
29.48.580.678 I slot print_timing: id  0 | task 19841 |       total time =   85744.17 ms /  1967 tokens
29.48.580.680 I slot print_timing: id  0 | task 19841 |    graphs reused =      21324
29.48.580.883 I slot      release: id  0 | task 19841 | stop processing: n_tokens = 6903, truncated = 0
30.13.583.171 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.418 (> 0.100 thold), f_keep = 0.261
30.13.895.392 I slot launch_slot_: id  0 | task 21500 | processing task, is_child = 0
30.19.441.929 I slot print_timing: id  0 | task 21500 | n_gen =    100, tg =  22.79 t/s, tg_3s =  23.02 t/s
30.22.451.972 I slot print_timing: id  0 | task 21500 | n_gen =    168, tg =  22.71 t/s, tg_3s =  22.59 t/s
30.25.480.705 I slot print_timing: id  0 | task 21500 | n_gen =    236, tg =  22.63 t/s, tg_3s =  22.45 t/s
30.28.493.622 I slot print_timing: id  0 | task 21500 | n_gen =    303, tg =  22.55 t/s, tg_3s =  22.24 t/s
30.31.514.343 I slot print_timing: id  0 | task 21500 | n_gen =    371, tg =  22.54 t/s, tg_3s =  22.51 t/s
30.34.520.006 I slot print_timing: id  0 | task 21500 | n_gen =    439, tg =  22.55 t/s, tg_3s =  22.62 t/s
30.37.540.553 I slot print_timing: id  0 | task 21500 | n_gen =    507, tg =  22.55 t/s, tg_3s =  22.51 t/s
30.40.578.354 I slot print_timing: id  0 | task 21500 | n_gen =    575, tg =  22.53 t/s, tg_3s =  22.38 t/s
30.43.594.459 I slot print_timing: id  0 | task 21500 | n_gen =    643, tg =  22.53 t/s, tg_3s =  22.55 t/s
30.46.608.767 I slot print_timing: id  0 | task 21500 | n_gen =    710, tg =  22.50 t/s, tg_3s =  22.23 t/s
30.49.631.079 I slot print_timing: id  0 | task 21500 | n_gen =    777, tg =  22.47 t/s, tg_3s =  22.17 t/s
30.52.664.141 I slot print_timing: id  0 | task 21500 | n_gen =    844, tg =  22.44 t/s, tg_3s =  22.09 t/s
30.55.703.359 I slot print_timing: id  0 | task 21500 | n_gen =    911, tg =  22.41 t/s, tg_3s =  22.05 t/s
30.55.976.236 I slot print_timing: id  0 | task 21500 | prompt eval time =    1202.98 ms /  1266 tokens (    0.95 ms per token,  1052.38 tokens per second)
30.55.976.246 I slot print_timing: id  0 | task 21500 |        eval time =   40877.83 ms /   917 tokens (   44.63 ms per token,    22.41 tokens per second)
30.55.976.247 I slot print_timing: id  0 | task 21500 |       total time =   42080.81 ms /  2183 tokens
30.55.976.248 I slot print_timing: id  0 | task 21500 |    graphs reused =      22235
30.55.976.437 I slot      release: id  0 | task 21500 | stop processing: n_tokens = 5224, truncated = 0
31.16.809.332 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.745 (> 0.100 thold), f_keep = 0.582
31.16.809.477 I slot launch_slot_: id  0 | task 22418 | processing task, is_child = 0
31.22.412.067 I slot print_timing: id  0 | task 22418 | n_gen =    100, tg =  23.28 t/s, tg_3s =  23.52 t/s
31.25.439.832 I slot print_timing: id  0 | task 22418 | n_gen =    170, tg =  23.21 t/s, tg_3s =  23.12 t/s
31.28.478.827 I slot print_timing: id  0 | task 22418 | n_gen =    240, tg =  23.16 t/s, tg_3s =  23.03 t/s
31.31.518.063 I slot print_timing: id  0 | task 22418 | n_gen =    308, tg =  22.98 t/s, tg_3s =  22.37 t/s
31.34.523.084 I slot print_timing: id  0 | task 22418 | n_gen =    376, tg =  22.92 t/s, tg_3s =  22.63 t/s
31.37.543.957 I slot print_timing: id  0 | task 22418 | n_gen =    445, tg =  22.91 t/s, tg_3s =  22.84 t/s
31.40.569.925 I slot print_timing: id  0 | task 22418 | n_gen =    514, tg =  22.89 t/s, tg_3s =  22.80 t/s
31.43.588.248 I slot print_timing: id  0 | task 22418 | n_gen =    582, tg =  22.85 t/s, tg_3s =  22.53 t/s
31.46.609.544 I slot print_timing: id  0 | task 22418 | n_gen =    650, tg =  22.81 t/s, tg_3s =  22.51 t/s
31.49.650.783 I slot print_timing: id  0 | task 22418 | n_gen =    718, tg =  22.77 t/s, tg_3s =  22.36 t/s
31.52.676.196 I slot print_timing: id  0 | task 22418 | n_gen =    786, tg =  22.74 t/s, tg_3s =  22.48 t/s
31.54.198.054 I slot print_timing: id  0 | task 22418 | prompt eval time =    1350.10 ms /  1043 tokens (    1.29 ms per token,   772.54 tokens per second)
31.54.198.067 I slot print_timing: id  0 | task 22418 |        eval time =   36038.46 ms /   820 tokens (   44.00 ms per token,    22.73 tokens per second)
31.54.198.069 I slot print_timing: id  0 | task 22418 |       total time =   37388.56 ms /  1863 tokens
31.54.198.070 I slot print_timing: id  0 | task 22418 |    graphs reused =      23049
31.54.198.332 I slot      release: id  0 | task 22418 | stop processing: n_tokens = 4904, truncated = 0
31.54.659.119 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.984 (> 0.100 thold), f_keep = 0.832
31.54.659.283 I slot launch_slot_: id  0 | task 23239 | processing task, is_child = 0
31.59.137.323 I slot print_timing: id  0 | task 23239 | n_gen =    100, tg =  22.67 t/s, tg_3s =  22.90 t/s
32.02.147.691 I slot print_timing: id  0 | task 23239 | n_gen =    169, tg =  22.77 t/s, tg_3s =  22.92 t/s
32.05.174.154 I slot print_timing: id  0 | task 23239 | n_gen =    238, tg =  22.78 t/s, tg_3s =  22.80 t/s
32.08.174.432 I slot print_timing: id  0 | task 23239 | n_gen =    306, tg =  22.75 t/s, tg_3s =  22.66 t/s
32.11.215.290 I slot print_timing: id  0 | task 23239 | n_gen =    375, tg =  22.74 t/s, tg_3s =  22.69 t/s
32.14.230.015 I slot print_timing: id  0 | task 23239 | n_gen =    443, tg =  22.71 t/s, tg_3s =  22.56 t/s
32.17.242.347 I slot print_timing: id  0 | task 23239 | n_gen =    510, tg =  22.65 t/s, tg_3s =  22.24 t/s
32.20.250.480 I slot print_timing: id  0 | task 23239 | n_gen =    577, tg =  22.61 t/s, tg_3s =  22.27 t/s
32.23.254.221 I slot print_timing: id  0 | task 23239 | n_gen =    644, tg =  22.57 t/s, tg_3s =  22.31 t/s
32.26.258.935 I slot print_timing: id  0 | task 23239 | n_gen =    711, tg =  22.55 t/s, tg_3s =  22.30 t/s
32.29.290.013 I slot print_timing: id  0 | task 23239 | n_gen =    778, tg =  22.51 t/s, tg_3s =  22.10 t/s
32.31.173.143 I slot print_timing: id  0 | task 23239 | prompt eval time =     110.95 ms /    67 tokens (    1.66 ms per token,   603.85 tokens per second)
32.31.173.152 I slot print_timing: id  0 | task 23239 |        eval time =   36402.88 ms /   820 tokens (   44.45 ms per token,    22.50 tokens per second)
32.31.173.153 I slot print_timing: id  0 | task 23239 |       total time =   36513.84 ms /   887 tokens
32.31.173.154 I slot print_timing: id  0 | task 23239 |    graphs reused =      23864
32.31.173.354 I slot      release: id  0 | task 23239 | stop processing: n_tokens = 4965, truncated = 0
32.51.579.464 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.462 (> 0.100 thold), f_keep = 0.363
32.51.861.444 I slot launch_slot_: id  0 | task 24060 | processing task, is_child = 0
32.57.144.163 I slot print_timing: id  0 | task 24060 | n_gen =    100, tg =  23.37 t/s, tg_3s =  23.61 t/s
33.00.180.444 I slot print_timing: id  0 | task 24060 | n_gen =    169, tg =  23.10 t/s, tg_3s =  22.73 t/s
33.03.213.827 I slot print_timing: id  0 | task 24060 | n_gen =    237, tg =  22.90 t/s, tg_3s =  22.42 t/s
33.06.215.047 I slot print_timing: id  0 | task 24060 | n_gen =    305, tg =  22.85 t/s, tg_3s =  22.66 t/s
33.09.255.533 I slot print_timing: id  0 | task 24060 | n_gen =    374, tg =  22.82 t/s, tg_3s =  22.69 t/s
33.12.299.225 I slot print_timing: id  0 | task 24060 | n_gen =    440, tg =  22.64 t/s, tg_3s =  21.68 t/s
33.14.413.153 I slot print_timing: id  0 | task 24060 | prompt eval time =    1046.53 ms /  1031 tokens (    1.02 ms per token,   985.16 tokens per second)
33.14.413.168 I slot print_timing: id  0 | task 24060 |        eval time =   21505.15 ms /   487 tokens (   44.25 ms per token,    22.60 tokens per second)
33.14.413.170 I slot print_timing: id  0 | task 24060 |       total time =   22551.68 ms /  1518 tokens
33.14.413.171 I slot print_timing: id  0 | task 24060 |    graphs reused =      24347
33.14.413.492 I slot      release: id  0 | task 24060 | stop processing: n_tokens = 4387, truncated = 0
33.18.632.226 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.863 (> 0.100 thold), f_keep = 0.888
33.18.632.358 I slot launch_slot_: id  0 | task 24548 | processing task, is_child = 0
33.23.801.035 I slot print_timing: id  0 | task 24548 | n_gen =    100, tg =  22.83 t/s, tg_3s =  23.06 t/s
33.26.810.265 I slot print_timing: id  0 | task 24548 | n_gen =    168, tg =  22.73 t/s, tg_3s =  22.60 t/s
33.29.832.397 I slot print_timing: id  0 | task 24548 | n_gen =    236, tg =  22.66 t/s, tg_3s =  22.50 t/s
33.32.851.411 I slot print_timing: id  0 | task 24548 | n_gen =    303, tg =  22.56 t/s, tg_3s =  22.19 t/s
33.35.886.478 I slot print_timing: id  0 | task 24548 | n_gen =    370, tg =  22.47 t/s, tg_3s =  22.08 t/s
33.38.920.464 I slot print_timing: id  0 | task 24548 | n_gen =    438, tg =  22.46 t/s, tg_3s =  22.41 t/s
33.41.373.340 I slot print_timing: id  0 | task 24548 | prompt eval time =     831.37 ms /   618 tokens (    1.35 ms per token,   743.35 tokens per second)
33.41.373.350 I slot print_timing: id  0 | task 24548 |        eval time =   21909.59 ms /   493 tokens (   44.53 ms per token,    22.46 tokens per second)
33.41.373.351 I slot print_timing: id  0 | task 24548 |       total time =   22740.96 ms /  1111 tokens
33.41.373.353 I slot print_timing: id  0 | task 24548 |    graphs reused =      24836
33.41.373.770 I slot      release: id  0 | task 24548 | stop processing: n_tokens = 5005, truncated = 0
34.05.666.551 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.581 (> 0.100 thold), f_keep = 0.573
34.05.666.715 I slot launch_slot_: id  0 | task 25042 | processing task, is_child = 0
34.12.604.489 I slot print_timing: id  0 | task 25042 | n_gen =    100, tg =  21.31 t/s, tg_3s =  21.52 t/s
34.15.629.292 I slot print_timing: id  0 | task 25042 | n_gen =    165, tg =  21.38 t/s, tg_3s =  21.49 t/s
34.18.657.749 I slot print_timing: id  0 | task 25042 | n_gen =    229, tg =  21.31 t/s, tg_3s =  21.13 t/s
34.21.692.795 I slot print_timing: id  0 | task 25042 | n_gen =    293, tg =  21.26 t/s, tg_3s =  21.09 t/s
34.24.708.422 I slot print_timing: id  0 | task 25042 | n_gen =    356, tg =  21.19 t/s, tg_3s =  20.89 t/s
34.27.724.585 I slot print_timing: id  0 | task 25042 | n_gen =    420, tg =  21.20 t/s, tg_3s =  21.22 t/s
34.30.727.016 I slot print_timing: id  0 | task 25042 | n_gen =    483, tg =  21.17 t/s, tg_3s =  20.98 t/s
34.33.754.741 I slot print_timing: id  0 | task 25042 | n_gen =    545, tg =  21.09 t/s, tg_3s =  20.48 t/s
34.36.762.037 I slot print_timing: id  0 | task 25042 | n_gen =    606, tg =  21.00 t/s, tg_3s =  20.28 t/s
34.39.766.797 I slot print_timing: id  0 | task 25042 | n_gen =    670, tg =  21.03 t/s, tg_3s =  21.30 t/s
34.42.776.021 I slot print_timing: id  0 | task 25042 | n_gen =    738, tg =  21.17 t/s, tg_3s =  22.60 t/s
34.45.809.029 I slot print_timing: id  0 | task 25042 | n_gen =    808, tg =  21.32 t/s, tg_3s =  23.08 t/s
34.48.827.779 I slot print_timing: id  0 | task 25042 | n_gen =    870, tg =  21.26 t/s, tg_3s =  20.54 t/s
34.51.855.165 I slot print_timing: id  0 | task 25042 | n_gen =    931, tg =  21.19 t/s, tg_3s =  20.15 t/s
34.54.871.143 I slot print_timing: id  0 | task 25042 | n_gen =    998, tg =  21.25 t/s, tg_3s =  22.21 t/s
34.57.901.711 I slot print_timing: id  0 | task 25042 | n_gen =   1065, tg =  21.30 t/s, tg_3s =  22.11 t/s
35.00.920.023 I slot print_timing: id  0 | task 25042 | n_gen =   1132, tg =  21.35 t/s, tg_3s =  22.20 t/s
35.03.960.934 I slot print_timing: id  0 | task 25042 | n_gen =   1201, tg =  21.43 t/s, tg_3s =  22.69 t/s
35.06.968.008 I slot print_timing: id  0 | task 25042 | n_gen =   1270, tg =  21.50 t/s, tg_3s =  22.95 t/s
35.10.008.483 I slot print_timing: id  0 | task 25042 | n_gen =   1338, tg =  21.55 t/s, tg_3s =  22.36 t/s
35.13.027.611 I slot print_timing: id  0 | task 25042 | n_gen =   1401, tg =  21.52 t/s, tg_3s =  20.87 t/s
35.16.051.481 I slot print_timing: id  0 | task 25042 | n_gen =   1465, tg =  21.50 t/s, tg_3s =  21.16 t/s
35.19.057.942 I slot print_timing: id  0 | task 25042 | n_gen =   1528, tg =  21.48 t/s, tg_3s =  20.95 t/s
35.22.065.780 I slot print_timing: id  0 | task 25042 | n_gen =   1581, tg =  21.32 t/s, tg_3s =  17.62 t/s
35.25.074.948 I slot print_timing: id  0 | task 25042 | n_gen =   1607, tg =  20.83 t/s, tg_3s =   8.64 t/s
35.28.077.894 I slot print_timing: id  0 | task 25042 | n_gen =   1631, tg =  20.34 t/s, tg_3s =   7.99 t/s
35.31.202.071 I slot print_timing: id  0 | task 25042 | n_gen =   1656, tg =  19.88 t/s, tg_3s =   8.00 t/s
35.31.487.080 I slot print_timing: id  0 | task 25042 | prompt eval time =    2291.05 ms /  2073 tokens (    1.11 ms per token,   904.82 tokens per second)
35.31.487.096 I slot print_timing: id  0 | task 25042 |        eval time =   83529.29 ms /  1658 tokens (   50.41 ms per token,    19.84 tokens per second)
35.31.487.097 I slot print_timing: id  0 | task 25042 |       total time =   85820.34 ms /  3731 tokens
35.31.487.101 I slot print_timing: id  0 | task 25042 |    graphs reused =      26486
35.31.487.475 I slot      release: id  0 | task 25042 | stop processing: n_tokens = 6600, truncated = 0
36.37.575.532 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.941 (> 0.100 thold), f_keep = 0.748
36.37.575.840 I slot launch_slot_: id  0 | task 26702 | processing task, is_child = 0
36.49.654.134 I slot print_timing: id  0 | task 26702 | n_gen =    100, tg =   8.88 t/s, tg_3s =   8.97 t/s
36.52.686.893 I slot print_timing: id  0 | task 26702 | n_gen =    127, tg =   8.88 t/s, tg_3s =   8.90 t/s
36.55.754.958 I slot print_timing: id  0 | task 26702 | n_gen =    154, tg =   8.87 t/s, tg_3s =   8.80 t/s
36.58.816.884 I slot print_timing: id  0 | task 26702 | n_gen =    181, tg =   8.86 t/s, tg_3s =   8.82 t/s
37.01.872.369 I slot print_timing: id  0 | task 26702 | n_gen =    208, tg =   8.86 t/s, tg_3s =   8.84 t/s
37.04.937.045 I slot print_timing: id  0 | task 26702 | n_gen =    235, tg =   8.85 t/s, tg_3s =   8.81 t/s
37.08.006.485 I slot print_timing: id  0 | task 26702 | n_gen =    262, tg =   8.85 t/s, tg_3s =   8.80 t/s
37.11.092.569 I slot print_timing: id  0 | task 26702 | n_gen =    289, tg =   8.84 t/s, tg_3s =   8.75 t/s
37.14.159.655 I slot print_timing: id  0 | task 26702 | n_gen =    316, tg =   8.83 t/s, tg_3s =   8.80 t/s
37.17.222.412 I slot print_timing: id  0 | task 26702 | n_gen =    343, tg =   8.83 t/s, tg_3s =   8.82 t/s
37.20.282.157 I slot print_timing: id  0 | task 26702 | n_gen =    370, tg =   8.83 t/s, tg_3s =   8.82 t/s
37.23.377.774 I slot print_timing: id  0 | task 26702 | n_gen =    397, tg =   8.82 t/s, tg_3s =   8.72 t/s
37.26.465.295 I slot print_timing: id  0 | task 26702 | n_gen =    424, tg =   8.82 t/s, tg_3s =   8.74 t/s
37.29.557.946 I slot print_timing: id  0 | task 26702 | n_gen =    451, tg =   8.81 t/s, tg_3s =   8.73 t/s
37.32.643.273 I slot print_timing: id  0 | task 26702 | n_gen =    478, tg =   8.81 t/s, tg_3s =   8.75 t/s
37.35.726.367 I slot print_timing: id  0 | task 26702 | n_gen =    505, tg =   8.81 t/s, tg_3s =   8.76 t/s
37.38.810.498 I slot print_timing: id  0 | task 26702 | n_gen =    532, tg =   8.80 t/s, tg_3s =   8.75 t/s
37.41.898.076 I slot print_timing: id  0 | task 26702 | n_gen =    559, tg =   8.80 t/s, tg_3s =   8.74 t/s
37.44.987.328 I slot print_timing: id  0 | task 26702 | n_gen =    586, tg =   8.80 t/s, tg_3s =   8.74 t/s
37.48.079.341 I slot print_timing: id  0 | task 26702 | n_gen =    613, tg =   8.80 t/s, tg_3s =   8.73 t/s
37.51.169.285 I slot print_timing: id  0 | task 26702 | n_gen =    640, tg =   8.79 t/s, tg_3s =   8.74 t/s
37.54.261.888 I slot print_timing: id  0 | task 26702 | n_gen =    667, tg =   8.79 t/s, tg_3s =   8.73 t/s
37.57.353.270 I slot print_timing: id  0 | task 26702 | n_gen =    694, tg =   8.79 t/s, tg_3s =   8.73 t/s
38.00.446.695 I slot print_timing: id  0 | task 26702 | n_gen =    721, tg =   8.79 t/s, tg_3s =   8.73 t/s
38.03.547.012 I slot print_timing: id  0 | task 26702 | n_gen =    748, tg =   8.78 t/s, tg_3s =   8.71 t/s
38.06.634.870 I slot print_timing: id  0 | task 26702 | n_gen =    775, tg =   8.78 t/s, tg_3s =   8.74 t/s
38.09.661.624 I slot print_timing: id  0 | task 26702 | n_gen =    801, tg =   8.78 t/s, tg_3s =   8.59 t/s
38.12.754.027 I slot print_timing: id  0 | task 26702 | n_gen =    828, tg =   8.77 t/s, tg_3s =   8.73 t/s
38.15.847.619 I slot print_timing: id  0 | task 26702 | n_gen =    855, tg =   8.77 t/s, tg_3s =   8.73 t/s
38.18.933.261 I slot print_timing: id  0 | task 26702 | n_gen =    882, tg =   8.77 t/s, tg_3s =   8.75 t/s
38.22.037.866 I slot print_timing: id  0 | task 26702 | n_gen =    909, tg =   8.77 t/s, tg_3s =   8.70 t/s
38.25.137.274 I slot print_timing: id  0 | task 26702 | n_gen =    936, tg =   8.77 t/s, tg_3s =   8.71 t/s
38.28.137.983 I slot print_timing: id  0 | task 26702 | n_gen =    962, tg =   8.77 t/s, tg_3s =   8.66 t/s
38.31.139.605 I slot print_timing: id  0 | task 26702 | n_gen =    988, tg =   8.76 t/s, tg_3s =   8.66 t/s
38.34.252.560 I slot print_timing: id  0 | task 26702 | n_gen =   1015, tg =   8.76 t/s, tg_3s =   8.67 t/s
38.37.363.713 I slot print_timing: id  0 | task 26702 | n_gen =   1042, tg =   8.76 t/s, tg_3s =   8.68 t/s
38.40.365.175 I slot print_timing: id  0 | task 26702 | n_gen =   1068, tg =   8.76 t/s, tg_3s =   8.66 t/s
38.43.480.705 I slot print_timing: id  0 | task 26702 | n_gen =   1095, tg =   8.75 t/s, tg_3s =   8.67 t/s
38.46.484.437 I slot print_timing: id  0 | task 26702 | n_gen =   1121, tg =   8.75 t/s, tg_3s =   8.66 t/s
38.49.487.940 I slot print_timing: id  0 | task 26702 | n_gen =   1147, tg =   8.75 t/s, tg_3s =   8.66 t/s
38.52.513.302 I slot print_timing: id  0 | task 26702 | n_gen =   1173, tg =   8.75 t/s, tg_3s =   8.59 t/s
